profile,condition,run_count,error_count,length_finish_rate,token_count_mean,total_marker_score_mean,delta_p0_mean,cosine_similarity_mean,perplexity_mean
ood_mini,control,300,0,0.006667,95.016667,0.022984,-0.0,1.0,764.507478
ood_mini,early,300,0,0.103333,104.683333,0.01349,-0.009495,0.621769,1247.964081
ood_mini,late,300,0,0.963333,119.326667,0.018099,-0.004885,0.737432,1148.899146
ood_mini,mid,300,0,0.673333,118.513333,0.017327,-0.005657,0.702068,1185.53872
ood_together_qwen,control,300,0,0.64,107.59,0.011858,0.0,1.0,1713.530013
ood_together_qwen,early,300,0,0.413333,104.66,0.01049,-0.001368,0.40556,2911.14552
ood_together_qwen,late,300,0,0.98,111.88,0.009745,-0.002113,0.44949,2761.986729
ood_together_qwen,mid,300,0,0.983333,112.023333,0.010213,-0.001645,0.433512,2815.322119
ood_combined,control,600,0,0.323333,101.303333,0.017421,0.0,1.0,1239.018746
ood_combined,early,600,0,0.258333,104.671667,0.01199,-0.005431,0.513664,2079.5548
ood_combined,mid,600,0,0.828333,115.268333,0.01377,-0.003651,0.56779,2000.430419
ood_combined,late,600,0,0.971667,115.603333,0.013922,-0.003499,0.593461,1955.442938
