prompt_id,early_abs_delta_mean,mid_abs_delta_mean,late_abs_delta_mean,delta_strength_ranking,early_minus_late_abs_delta,early_minus_mid_abs_delta
p01,0.015344,0.014984,0.000976,early > mid > late,0.014368,0.00036
p02,0.017875,0.004058,0.007521,early > late > mid,0.010354,0.013817
p03,0.011198,0.005728,0.002526,early > mid > late,0.008672,0.00547
p04,0.006507,0.003909,0.003711,early > mid > late,0.002795,0.002597
p05,0.006048,0.01113,0.000261,mid > early > late,0.005787,-0.005082
p06,0.006365,0.003606,0.007781,late > early > mid,-0.001415,0.00276
p07,0.004701,0.010511,0.009986,mid > late > early,-0.005285,-0.00581
p08,0.007682,0.006186,0.005992,early > mid > late,0.00169,0.001496
p09,0.019619,0.005863,0.004576,early > mid > late,0.015042,0.013756
p10,0.00686,0.005639,0.006468,early > late > mid,0.000392,0.001221
p11,0.005527,0.008231,0.005056,mid > early > late,0.000472,-0.002703
p12,0.004018,0.00505,0.004831,mid > late > early,-0.000813,-0.001032
