condition,category,normalized_marker_mean,normalized_marker_min,normalized_marker_max
control,anglocentric_formulas,0.0,0.0,0.0
control,argument_development,0.0,0.0,0.0
control,hedging_epistemic,0.000439,0.0,0.010638
control,intensification_assertiveness,0.0,0.0,0.0
control,logical_structuring,0.02176,0.009434,0.040816
early,anglocentric_formulas,0.0,0.0,0.0
early,argument_development,0.000213,0.0,0.010204
early,hedging_epistemic,0.0,0.0,0.0
early,intensification_assertiveness,0.0,0.0,0.0
early,logical_structuring,0.018164,0.0,0.034483
late,anglocentric_formulas,0.0,0.0,0.0
late,argument_development,0.000668,0.0,0.011236
late,hedging_epistemic,0.0,0.0,0.0
late,intensification_assertiveness,0.0,0.0,0.0
late,logical_structuring,0.01979,0.0,0.037736
mid,anglocentric_formulas,0.000226,0.0,0.01087
mid,argument_development,0.000437,0.0,0.01087
mid,hedging_epistemic,0.00043,0.0,0.010526
mid,intensification_assertiveness,0.0,0.0,0.0
mid,logical_structuring,0.016935,0.0,0.037736
