prompt_id,early_abs_delta_mean,mid_abs_delta_mean,late_abs_delta_mean,delta_strength_ranking,early_minus_late_abs_delta,early_minus_mid_abs_delta
p01,0.010822,0.00512,0.010324,early > late > mid,0.000498,0.005702
p02,0.00704,0.008125,0.011816,late > mid > early,-0.004775,-0.001085
p03,0.00854,0.00731,0.004143,early > mid > late,0.004397,0.00123
p04,0.004142,0.007144,0.007703,late > mid > early,-0.003561,-0.003002
p05,0.000357,0.005753,0.00586,late > mid > early,-0.005502,-0.005396
p06,0.007901,0.005409,0.005003,early > mid > late,0.002899,0.002492
p07,0.009317,0.008514,0.007931,early > mid > late,0.001385,0.000803
p08,0.005409,0.005132,0.004953,early > mid > late,0.000457,0.000277
p09,0.005794,0.013077,0.008229,mid > late > early,-0.002436,-0.007283
p10,0.007357,0.008209,0.010753,late > mid > early,-0.003396,-0.000851
p11,0.010062,0.00447,0.00439,early > mid > late,0.005672,0.005592
p12,0.005798,0.004129,0.005255,early > late > mid,0.000544,0.001669
