condition,category,normalized_marker_mean,normalized_marker_min,normalized_marker_max
control,anglocentric_formulas,0.0,0.0,0.0
control,argument_development,0.000439,0.0,0.010638
control,hedging_epistemic,0.000204,0.0,0.009804
control,intensification_assertiveness,0.0,0.0,0.0
control,logical_structuring,0.016553,0.0,0.035294
early,anglocentric_formulas,0.0,0.0,0.0
early,argument_development,0.000661,0.0,0.011111
early,hedging_epistemic,0.0,0.0,0.0
early,intensification_assertiveness,0.0,0.0,0.0
early,logical_structuring,0.01602,0.0,0.032258
late,anglocentric_formulas,0.0,0.0,0.0
late,argument_development,0.000605,0.0,0.009901
late,hedging_epistemic,0.0,0.0,0.0
late,intensification_assertiveness,0.000206,0.0,0.009901
late,logical_structuring,0.015739,0.0,0.032609
mid,anglocentric_formulas,0.0,0.0,0.0
mid,argument_development,0.00043,0.0,0.010638
mid,hedging_epistemic,0.000206,0.0,0.009901
mid,intensification_assertiveness,0.0,0.0,0.0
mid,logical_structuring,0.014864,0.0,0.040816
