prompt_id,early_abs_delta_mean,mid_abs_delta_mean,late_abs_delta_mean,delta_strength_ranking,early_minus_late_abs_delta,early_minus_mid_abs_delta
o001,0.027364,0.014508,0.011951,early > mid > late,0.015413,0.012856
o002,0.019594,0.015653,0.006688,early > mid > late,0.012906,0.003942
o003,0.007579,0.012223,0.008129,mid > late > early,-0.00055,-0.004643
o004,0.003369,0.008136,0.003119,mid > early > late,0.00025,-0.004767
o005,0.009632,0.004981,0.00309,early > mid > late,0.006542,0.004651
o006,0.010551,0.011105,0.007008,mid > early > late,0.003543,-0.000554
o007,0.01746,0.016649,0.009866,early > mid > late,0.007594,0.000811
o008,0.00412,0.0038,0.004686,late > early > mid,-0.000565,0.00032
o009,0.007147,0.002959,0.010354,late > early > mid,-0.003207,0.004188
o010,0.01392,0.003901,0.003947,early > late > mid,0.009973,0.010019
o011,0.020127,0.006632,0.008584,early > late > mid,0.011544,0.013496
o012,0.010107,0.008074,0.004464,early > mid > late,0.005643,0.002033
o013,0.002843,0.003654,0.001033,mid > early > late,0.00181,-0.000811
o014,0.012377,0.005817,0.004804,early > mid > late,0.007573,0.006559
o015,0.007765,0.003108,0.003036,early > mid > late,0.004729,0.004657
o016,0.036506,0.01957,0.015517,early > mid > late,0.02099,0.016937
o017,0.009398,0.004914,0.003386,early > mid > late,0.006012,0.004484
o018,0.006582,0.008674,0.004846,mid > early > late,0.001736,-0.002092
o019,0.004351,0.00374,0.004701,late > early > mid,-0.00035,0.000611
o020,0.010198,0.008806,0.006749,early > mid > late,0.003449,0.001392
o021,0.025655,0.0076,0.00601,early > mid > late,0.019645,0.018056
o022,0.01084,0.005333,0.005085,early > mid > late,0.005754,0.005507
o023,0.002518,0.007124,0.008429,late > mid > early,-0.005912,-0.004606
o024,0.000682,0.002345,0.008994,late > mid > early,-0.008312,-0.001662
o025,0.0,0.011965,0.0,mid > early > late,0.0,-0.011965
o026,0.032677,0.012984,0.010483,early > mid > late,0.022194,0.019693
o027,0.020504,0.014556,0.004649,early > mid > late,0.015855,0.005948
o028,0.003804,0.00593,0.004718,mid > late > early,-0.000915,-0.002126
o029,0.03614,0.012052,0.01547,early > late > mid,0.02067,0.024088
o030,0.011749,0.003857,0.005083,early > late > mid,0.006666,0.007892
o031,0.005906,0.008658,0.009853,late > mid > early,-0.003946,-0.002752
o032,0.004028,0.00301,0.00621,late > early > mid,-0.002181,0.001018
o033,0.004075,0.012338,0.003391,mid > early > late,0.000684,-0.008262
o034,0.013937,0.011527,0.005777,early > mid > late,0.00816,0.00241
o035,0.006129,0.00615,0.003372,mid > early > late,0.002757,-2.1e-05
o036,0.029445,0.017027,0.011717,early > mid > late,0.017727,0.012418
o037,0.010265,0.012024,0.012259,late > mid > early,-0.001994,-0.001759
o038,0.013851,0.022382,0.014383,mid > late > early,-0.000532,-0.008531
o039,0.009334,0.00458,0.006345,early > late > mid,0.002989,0.004754
o040,0.0,0.005674,0.0,mid > early > late,0.0,-0.005674
o041,0.024003,0.007466,0.006258,early > mid > late,0.017745,0.016537
o042,0.010242,0.007964,0.011152,late > early > mid,-0.00091,0.002278
o043,0.006492,0.003997,0.006028,early > late > mid,0.000464,0.002495
o044,0.011532,0.007508,0.00813,early > late > mid,0.003402,0.004024
o045,0.010554,0.003613,0.008956,early > late > mid,0.001597,0.00694
o046,0.028223,0.015237,0.006158,early > mid > late,0.022065,0.012985
o047,0.010439,0.002895,0.006031,early > late > mid,0.004408,0.007544
o048,0.00254,0.00474,0.002878,mid > late > early,-0.000337,-0.002199
o049,0.008101,0.004883,0.006955,early > late > mid,0.001146,0.003218
