condition,category,normalized_marker_mean,normalized_marker_min,normalized_marker_max
control,anglocentric_formulas,0.000348,0.0,0.014085
control,argument_development,3.3e-05,0.0,0.009901
control,hedging_epistemic,0.000201,0.0,0.015625
control,intensification_assertiveness,3.1e-05,0.0,0.009346
control,logical_structuring,0.022371,0.0,0.053763
early,anglocentric_formulas,0.000124,0.0,0.009804
early,argument_development,0.000149,0.0,0.009804
early,hedging_epistemic,0.000199,0.0,0.010526
early,intensification_assertiveness,3.4e-05,0.0,0.010309
early,logical_structuring,0.012983,0.0,0.04
late,anglocentric_formulas,0.000432,0.0,0.009901
late,argument_development,0.000423,0.0,0.009901
late,hedging_epistemic,0.000287,0.0,0.01
late,intensification_assertiveness,2.8e-05,0.0,0.008403
late,logical_structuring,0.016929,0.0,0.044248
mid,anglocentric_formulas,0.000139,0.0,0.009091
mid,argument_development,0.000179,0.0,0.011236
mid,hedging_epistemic,0.000385,0.0,0.008929
mid,intensification_assertiveness,5.6e-05,0.0,0.008475
mid,logical_structuring,0.016568,0.0,0.040984
