prompt_id,early_abs_delta_mean,mid_abs_delta_mean,late_abs_delta_mean,delta_strength_ranking,early_minus_late_abs_delta,early_minus_mid_abs_delta
o001,0.021996,0.016937,0.009004,early > mid > late,0.012992,0.005059
o002,0.017853,0.006385,0.00391,early > mid > late,0.013943,0.011468
o003,0.008116,0.011916,0.005771,mid > early > late,0.002345,-0.0038
o004,0.005417,0.006557,0.00441,mid > early > late,0.001006,-0.00114
o005,0.003521,0.003794,0.003926,late > mid > early,-0.000406,-0.000274
o006,0.012876,0.006294,0.005133,early > mid > late,0.007743,0.006582
o007,0.003801,0.00652,0.005278,mid > late > early,-0.001478,-0.002719
o008,0.008308,0.004013,0.005747,early > late > mid,0.00256,0.004294
o009,0.005127,0.005233,0.004733,mid > early > late,0.000393,-0.000107
o010,0.0033,0.002874,0.0,early > mid > late,0.0033,0.000427
o011,0.002059,0.002774,0.005376,late > mid > early,-0.003317,-0.000715
o012,0.009043,0.006938,0.004161,early > mid > late,0.004882,0.002105
o013,0.00495,0.008117,0.005932,mid > late > early,-0.000982,-0.003168
o014,0.003964,0.00321,0.000198,early > mid > late,0.003766,0.000754
o015,0.010647,0.006454,0.006437,early > mid > late,0.00421,0.004193
o016,0.006542,0.011647,0.005797,mid > early > late,0.000745,-0.005106
o017,0.012366,0.012868,0.005638,mid > early > late,0.006728,-0.000503
o018,0.003192,0.012262,0.005023,mid > late > early,-0.00183,-0.00907
o019,0.003747,0.003137,0.006068,late > early > mid,-0.002321,0.00061
o020,0.003058,0.004287,0.003058,mid > early > late,0.0,-0.001229
o021,0.014232,0.007737,0.012751,early > late > mid,0.001481,0.006495
o022,0.009048,0.007717,0.005177,early > mid > late,0.003871,0.001331
o023,0.004192,0.005134,0.003907,mid > early > late,0.000285,-0.000942
o024,0.004178,0.000468,0.000261,early > mid > late,0.003917,0.00371
o025,0.003115,0.003115,0.003115,early > mid > late,0.0,0.0
o026,0.007999,0.000298,8.5e-05,early > mid > late,0.007913,0.007701
o027,0.015988,0.003299,0.003614,early > late > mid,0.012374,0.012689
o028,0.005289,0.006294,0.006008,mid > late > early,-0.000719,-0.001005
o029,0.003305,0.000842,0.002904,early > late > mid,0.000401,0.002463
o030,0.000409,0.008396,0.005195,mid > late > early,-0.004785,-0.007987
o031,0.003418,0.007649,0.002459,mid > early > late,0.000959,-0.004232
o032,0.006237,0.007622,0.003843,mid > early > late,0.002395,-0.001385
o033,0.010973,0.00368,0.004596,early > late > mid,0.006376,0.007293
o034,0.00507,0.005122,0.006025,late > mid > early,-0.000955,-5.2e-05
o035,0.003115,0.006241,0.0,mid > early > late,0.003115,-0.003125
o036,0.004211,0.004723,0.003599,mid > early > late,0.000612,-0.000512
o037,0.010655,0.004753,0.004365,early > mid > late,0.006291,0.005903
o038,0.005784,0.004162,0.003718,early > mid > late,0.002066,0.001622
o039,0.004109,0.002661,0.002577,early > mid > late,0.001532,0.001448
o040,0.006709,0.00303,0.003401,early > late > mid,0.003307,0.003678
o041,0.010064,0.010283,0.007348,mid > early > late,0.002716,-0.00022
o042,0.010331,0.001537,0.003363,early > late > mid,0.006968,0.008793
o043,0.010669,0.014296,0.014025,mid > late > early,-0.003356,-0.003628
o044,0.009984,0.003253,0.003287,early > late > mid,0.006697,0.006731
o045,0.00269,0.006033,0.006033,mid > late > early,-0.003343,-0.003343
o046,0.012066,0.00854,0.011315,early > late > mid,0.000751,0.003526
o047,0.001783,0.004668,0.005247,late > mid > early,-0.003464,-0.002886
o048,0.007731,0.007973,0.016779,late > mid > early,-0.009048,-0.000242
o049,0.003191,0.003095,0.003461,late > early > mid,-0.000271,9.6e-05
o050,0.005138,0.004537,0.006931,late > early > mid,-0.001793,0.000601
o051,0.004431,0.003468,0.003082,early > mid > late,0.001349,0.000963
o052,0.005942,0.004639,0.005709,early > late > mid,0.000234,0.001304
