condition,category,normalized_marker_mean,normalized_marker_min,normalized_marker_max
control,anglocentric_formulas,0.001285,0.0,0.011628
control,argument_development,0.000124,0.0,0.010101
control,hedging_epistemic,0.000306,0.0,0.011765
control,intensification_assertiveness,3.1e-05,0.0,0.009346
control,logical_structuring,0.010113,0.0,0.037736
early,anglocentric_formulas,0.001058,0.0,0.012048
early,argument_development,0.000127,0.0,0.010101
early,hedging_epistemic,7e-05,0.0,0.011628
early,intensification_assertiveness,0.000147,0.0,0.015873
early,logical_structuring,0.009088,0.0,0.029126
late,anglocentric_formulas,0.001409,0.0,0.010309
late,argument_development,0.000265,0.0,0.01
late,hedging_epistemic,6.2e-05,0.0,0.010101
late,intensification_assertiveness,5.4e-05,0.0,0.008333
late,logical_structuring,0.007955,0.0,0.037383
mid,anglocentric_formulas,0.000865,0.0,0.016949
mid,argument_development,0.000359,0.0,0.009901
mid,hedging_epistemic,8.9e-05,0.0,0.009615
mid,intensification_assertiveness,0.000228,0.0,0.009259
mid,logical_structuring,0.008673,0.0,0.033613
