prompt_id,early_abs_delta_mean,mid_abs_delta_mean,late_abs_delta_mean,delta_strength_ranking,early_minus_late_abs_delta,early_minus_mid_abs_delta
s001,0.00769,0.007603,0.016949,late > early > mid,-0.009259,8.7e-05
s002,0.000165,0.019952,0.00063,mid > late > early,-0.000465,-0.019787
s003,0.010352,0.00065,0.000362,early > mid > late,0.00999,0.009702
s004,0.000496,0.000255,0.000858,late > early > mid,-0.000362,0.000241
s005,0.009346,0.009009,0.025641,late > early > mid,-0.016295,0.000337
s006,0.01133,0.008313,0.008621,early > late > mid,0.002709,0.003017
s007,0.007812,0.001349,0.010501,late > early > mid,-0.002689,0.006463
s008,0.001424,0.003153,0.011628,late > mid > early,-0.010204,-0.001729
s009,0.012357,0.000233,0.008696,early > late > mid,0.003661,0.012124
s010,0.016667,0.0,0.0,early > mid > late,0.016667,0.016667
s011,0.022643,0.013027,0.013909,early > late > mid,0.008734,0.009616
s012,0.009434,0.017544,0.010204,mid > late > early,-0.00077,-0.00811
s013,0.005516,0.003896,0.004582,early > late > mid,0.000934,0.00162
s014,0.00812,0.010302,0.010056,mid > late > early,-0.001936,-0.002182
s015,0.0,0.010101,0.009709,mid > late > early,-0.009709,-0.010101
s016,0.024539,0.024908,0.01511,mid > early > late,0.009429,-0.000369
s017,0.018018,0.009543,0.001213,early > mid > late,0.016805,0.008475
s018,0.002315,0.020833,0.011488,mid > late > early,-0.009173,-0.018518
s019,0.005346,0.011638,0.012648,late > mid > early,-0.007302,-0.006292
s020,0.008333,0.0,0.0,early > mid > late,0.008333,0.008333
s021,0.008932,0.000754,0.010198,late > early > mid,-0.001266,0.008178
s022,0.002361,0.000992,0.000834,early > mid > late,0.001527,0.001369
s023,0.000215,0.011847,0.011444,mid > late > early,-0.011229,-0.011632
s024,0.0,0.00028,0.00063,late > mid > early,-0.00063,-0.00028
s025,0.000892,9.7e-05,0.009901,late > early > mid,-0.009009,0.000795
s026,0.025641,0.006879,0.025641,early > late > mid,0.0,0.018762
s027,0.018182,0.0,0.018349,late > early > mid,-0.000167,0.018182
s028,0.001677,0.002183,0.002708,late > mid > early,-0.001031,-0.000506
s029,0.003607,0.001818,0.001982,early > late > mid,0.001625,0.001789
s030,0.006914,0.016529,0.000278,mid > early > late,0.006636,-0.009615
s031,0.017374,0.001753,0.002023,early > late > mid,0.015351,0.015621
s032,0.011304,0.01115,0.011379,late > early > mid,-7.5e-05,0.000154
s033,0.012523,0.001195,0.00689,early > late > mid,0.005633,0.011328
s034,0.001751,0.00018,0.000363,early > late > mid,0.001388,0.001571
s035,0.008696,0.000292,0.008696,early > late > mid,0.0,0.008404
s036,0.016667,0.008333,0.0,early > mid > late,0.016667,0.008334
s037,0.014963,0.000534,0.008767,early > late > mid,0.006196,0.014429
s038,0.005843,0.010417,0.001567,mid > early > late,0.004276,-0.004574
s039,0.007145,0.001257,0.00063,early > mid > late,0.006515,0.005888
s040,0.008333,0.008333,0.008333,early > mid > late,0.0,0.0
s041,0.028561,0.019414,0.008159,early > mid > late,0.020402,0.009147
s042,0.009244,0.009524,0.019048,late > mid > early,-0.009804,-0.00028
s043,0.010909,0.010909,0.010291,early > mid > late,0.000618,0.0
s044,0.007429,0.008658,0.018182,late > mid > early,-0.010753,-0.001229
s045,0.009615,0.009615,0.009615,early > mid > late,0.0,0.0
s046,0.011411,0.008197,0.008197,early > mid > late,0.003214,0.003214
s047,0.001955,0.014857,0.000273,mid > early > late,0.001682,-0.012902
s048,0.000556,0.001464,0.007465,late > mid > early,-0.006909,-0.000908
s049,0.006417,0.003568,0.002836,early > mid > late,0.003581,0.002849
s050,0.009091,0.0,0.0,early > mid > late,0.009091,0.009091
s051,0.028571,0.018768,0.008964,early > mid > late,0.019607,0.009803
s052,0.010119,0.009253,7.9e-05,early > mid > late,0.01004,0.000866
s053,0.007159,0.011359,0.005697,mid > early > late,0.001462,-0.0042
s054,0.009842,0.000674,0.00885,early > late > mid,0.000992,0.009168
s055,0.017777,0.000924,0.026786,late > early > mid,-0.009009,0.016853
s056,0.027579,0.0029,0.0,early > mid > late,0.027579,0.024679
s057,0.017544,0.016939,0.00045,early > mid > late,0.017094,0.000605
s058,0.012386,0.014247,0.013547,mid > late > early,-0.001161,-0.001861
s059,0.001435,0.0,8.2e-05,early > late > mid,0.001353,0.001435
s060,0.0,0.0,0.0,early > mid > late,0.0,0.0
s061,0.022799,0.022436,0.002451,early > mid > late,0.020348,0.000363
