condition,category,normalized_marker_mean,normalized_marker_min,normalized_marker_max
control,anglocentric_formulas,0.001782,0.0,0.013699
control,argument_development,0.000188,0.0,0.009434
control,hedging_epistemic,0.000315,0.0,0.010989
control,intensification_assertiveness,9.6e-05,0.0,0.009615
control,logical_structuring,0.012874,0.0,0.041667
early,anglocentric_formulas,0.000832,0.0,0.010526
early,argument_development,0.000173,0.0,0.009524
early,hedging_epistemic,0.000588,0.0,0.030928
early,intensification_assertiveness,0.000284,0.0,0.010526
early,logical_structuring,0.010055,0.0,0.024793
late,anglocentric_formulas,0.001439,0.0,0.009804
late,argument_development,0.000437,0.0,0.009346
late,hedging_epistemic,0.0,0.0,0.0
late,intensification_assertiveness,0.000173,0.0,0.008929
late,logical_structuring,0.009259,0.0,0.039216
mid,anglocentric_formulas,0.001426,0.0,0.010309
mid,argument_development,0.000264,0.0,0.009259
mid,hedging_epistemic,0.000272,0.0,0.009804
mid,intensification_assertiveness,0.000349,0.0,0.009615
mid,logical_structuring,0.010427,0.0,0.030303
