condition,category,normalized_marker_mean,normalized_marker_min,normalized_marker_max
control,anglocentric_formulas,0.0,0.0,0.0
control,argument_development,0.0,0.0,0.0
control,hedging_epistemic,0.000473,0.0,0.011364
control,intensification_assertiveness,0.0,0.0,0.0
control,logical_structuring,0.020311,0.0,0.033708
early,anglocentric_formulas,0.0,0.0,0.0
early,argument_development,0.0,0.0,0.0
early,hedging_epistemic,0.0,0.0,0.0
early,intensification_assertiveness,0.0,0.0,0.0
early,logical_structuring,0.019595,0.0,0.038462
late,anglocentric_formulas,0.0,0.0,0.0
late,argument_development,0.000473,0.0,0.011364
late,hedging_epistemic,0.0,0.0,0.0
late,intensification_assertiveness,0.0,0.0,0.0
late,logical_structuring,0.019651,0.0,0.034884
mid,anglocentric_formulas,0.0,0.0,0.0
mid,argument_development,0.0,0.0,0.0
mid,hedging_epistemic,0.000508,0.0,0.012195
mid,intensification_assertiveness,0.0,0.0,0.0
mid,logical_structuring,0.017718,0.0,0.035714
