prompt_id,early_abs_delta_mean,mid_abs_delta_mean,late_abs_delta_mean,delta_strength_ranking,early_minus_late_abs_delta,early_minus_mid_abs_delta
s001,0.007586,0.004684,0.004554,early > mid > late,0.003032,0.002902
s002,0.004999,0.007924,0.002375,mid > early > late,0.002623,-0.002926
s003,0.005272,0.00836,0.006321,mid > late > early,-0.001049,-0.003088
s004,0.012205,0.004024,0.004033,early > late > mid,0.008172,0.008181
s005,0.00861,0.007835,0.004384,early > mid > late,0.004226,0.000775
s006,0.005274,0.01024,0.009658,mid > late > early,-0.004384,-0.004966
s007,0.00051,0.005867,0.006042,late > mid > early,-0.005531,-0.005357
s008,0.003087,0.006469,0.007086,late > mid > early,-0.003999,-0.003382
s009,0.011563,0.011376,0.006689,early > mid > late,0.004874,0.000187
s010,0.009373,0.010274,0.00732,mid > early > late,0.002053,-0.000901
s011,0.009683,0.013384,0.007132,mid > early > late,0.002551,-0.003701
s012,0.011565,0.005665,0.004123,early > mid > late,0.007441,0.0059
s013,0.005017,0.008265,0.003373,mid > early > late,0.001644,-0.003248
s014,0.005163,0.012735,0.003012,mid > early > late,0.00215,-0.007572
s015,0.010503,0.004869,0.004635,early > mid > late,0.005868,0.005634
s016,0.005914,0.012829,0.001945,mid > early > late,0.003969,-0.006916
s017,0.009932,0.00832,0.012507,late > early > mid,-0.002576,0.001612
s018,0.000647,0.00408,0.003335,mid > late > early,-0.002688,-0.003433
s019,0.00493,0.002577,0.004853,early > late > mid,7.7e-05,0.002353
s020,0.002818,0.005127,0.005259,late > mid > early,-0.002441,-0.002309
s021,0.008302,0.012219,0.006087,mid > early > late,0.002215,-0.003916
s022,0.003358,0.001401,0.003627,late > early > mid,-0.000269,0.001957
s023,0.005147,0.003548,0.004106,early > late > mid,0.001041,0.001599
s024,0.00424,0.009856,0.005993,mid > late > early,-0.001754,-0.005616
s025,0.004128,0.009424,0.007352,mid > late > early,-0.003224,-0.005297
s026,0.005818,0.008644,0.010425,late > mid > early,-0.004607,-0.002826
s027,0.004434,0.003305,0.004511,late > early > mid,-7.7e-05,0.001129
s028,0.002111,0.009847,0.003761,mid > late > early,-0.00165,-0.007737
s029,0.004528,0.010412,0.00584,mid > late > early,-0.001312,-0.005884
s030,0.013979,0.008137,0.011977,early > late > mid,0.002002,0.005842
s031,0.003699,0.008107,0.00711,mid > late > early,-0.003411,-0.004408
s032,0.009522,0.004747,0.003356,early > mid > late,0.006166,0.004775
s033,0.000452,0.00512,0.003909,mid > late > early,-0.003457,-0.004668
s034,0.013656,0.009742,0.004541,early > mid > late,0.009114,0.003913
s035,0.009084,0.00346,0.003483,early > late > mid,0.005601,0.005623
s036,0.003722,0.005235,0.012796,late > mid > early,-0.009073,-0.001513
s037,0.007658,0.006046,0.005948,early > mid > late,0.001709,0.001612
s038,0.008836,0.001406,0.002526,early > late > mid,0.00631,0.00743
s039,0.002887,0.007178,0.008876,late > mid > early,-0.005989,-0.004291
s040,0.003896,0.001668,0.003004,early > late > mid,0.000892,0.002228
s041,0.006357,0.005206,0.004547,early > mid > late,0.001811,0.001152
s042,0.014039,0.003354,0.003004,early > mid > late,0.011035,0.010685
s043,0.003444,0.007193,0.002003,mid > early > late,0.00144,-0.00375
s044,0.006983,0.001223,0.001488,early > late > mid,0.005495,0.005761
s045,0.02356,0.013742,0.00338,early > mid > late,0.020179,0.009818
s046,0.010671,0.007262,0.006146,early > mid > late,0.004525,0.003409
s047,0.006685,0.006139,0.006414,early > late > mid,0.000271,0.000546
s048,0.002088,0.009074,0.004304,mid > late > early,-0.002217,-0.006987
s049,0.002583,0.007512,0.008934,late > mid > early,-0.006352,-0.004929
s050,3.5e-05,0.002949,0.002694,mid > late > early,-0.002659,-0.002914
s051,0.002095,0.002338,0.003482,late > mid > early,-0.001387,-0.000243
s052,0.005135,0.006842,0.005263,mid > late > early,-0.000129,-0.001708
s053,0.008836,0.009674,0.011179,late > mid > early,-0.002343,-0.000838
s054,0.005485,0.000555,0.00247,early > late > mid,0.003015,0.00493
s055,0.01689,0.005287,0.003106,early > mid > late,0.013785,0.011603
s056,0.003566,0.010439,0.004275,mid > late > early,-0.000709,-0.006873
s057,0.005709,0.006485,0.00834,late > mid > early,-0.00263,-0.000776
s058,0.004571,0.005889,0.007229,late > mid > early,-0.002658,-0.001318
s059,0.007633,0.006817,0.004394,early > mid > late,0.003238,0.000816
s060,0.009595,0.008766,0.006048,early > mid > late,0.003547,0.00083
s061,0.009502,0.00994,0.001926,mid > early > late,0.007576,-0.000438
