condition,category,normalized_marker_mean,normalized_marker_min,normalized_marker_max
control,anglocentric_formulas,0.000233,0.0,0.012987
control,argument_development,0.000178,0.0,0.0125
control,hedging_epistemic,0.000225,0.0,0.010638
control,intensification_assertiveness,0.0,0.0,0.0
control,logical_structuring,0.021881,0.0,0.04878
early,anglocentric_formulas,0.000328,0.0,0.010638
early,argument_development,0.000225,0.0,0.012048
early,hedging_epistemic,0.000187,0.0,0.010989
early,intensification_assertiveness,0.0,0.0,0.0
early,logical_structuring,0.018579,0.0,0.048193
late,anglocentric_formulas,0.000457,0.0,0.010101
late,argument_development,0.00059,0.0,0.018519
late,hedging_epistemic,0.000395,0.0,0.019417
late,intensification_assertiveness,2.8e-05,0.0,0.008264
late,logical_structuring,0.020092,0.0,0.043478
mid,anglocentric_formulas,0.000382,0.0,0.01626
mid,argument_development,0.000418,0.0,0.009901
mid,hedging_epistemic,0.000222,0.0,0.009091
mid,intensification_assertiveness,0.0,0.0,0.0
mid,logical_structuring,0.018367,0.0,0.049505
