prompt_id,early_abs_delta_mean,mid_abs_delta_mean,late_abs_delta_mean,delta_strength_ranking,early_minus_late_abs_delta,early_minus_mid_abs_delta
s001,0.024357,0.001639,0.010636,early > late > mid,0.01372,0.022718
s002,0.00396,0.001443,0.006254,late > early > mid,-0.002294,0.002517
s003,0.000537,0.004922,0.003044,mid > late > early,-0.002507,-0.004385
s004,0.005158,0.003055,0.007197,late > early > mid,-0.002039,0.002103
s005,0.008762,0.01003,0.004668,mid > early > late,0.004093,-0.001268
s006,0.012318,0.00694,0.003685,early > mid > late,0.008633,0.005378
s007,0.003299,0.005025,0.003233,mid > early > late,6.6e-05,-0.001726
s008,0.007072,0.006311,0.003376,early > mid > late,0.003697,0.000762
s009,0.001911,0.00391,0.004038,late > mid > early,-0.002126,-0.001999
s010,0.00355,0.00433,0.005355,late > mid > early,-0.001805,-0.00078
s011,0.0033,0.009452,0.006144,mid > late > early,-0.002844,-0.006151
s012,0.00468,0.010891,0.002932,mid > early > late,0.001748,-0.006211
s013,0.003751,0.004231,0.008,late > mid > early,-0.004249,-0.00048
s014,0.005521,0.003941,0.009503,late > early > mid,-0.003982,0.00158
s015,0.009051,0.006101,0.00625,early > late > mid,0.002801,0.00295
s016,0.008927,0.007629,0.013405,late > early > mid,-0.004478,0.001298
s017,0.004555,0.006229,0.004774,mid > late > early,-0.000219,-0.001674
s018,0.001424,0.006557,0.006333,mid > late > early,-0.004909,-0.005133
s019,0.005545,0.004484,0.003775,early > mid > late,0.001769,0.00106
s020,0.000351,0.008483,0.008483,mid > late > early,-0.008132,-0.008132
s021,0.0,0.008694,0.005579,mid > late > early,-0.005579,-0.008694
s022,0.006155,0.002721,0.005299,early > late > mid,0.000855,0.003434
s023,0.005122,0.005522,0.007612,late > mid > early,-0.00249,-0.0004
s024,0.007402,0.003079,0.003453,early > late > mid,0.003948,0.004322
s025,0.005245,0.006158,0.007179,late > mid > early,-0.001934,-0.000913
s026,0.003086,0.003086,0.003902,late > early > mid,-0.000816,0.0
s027,0.002563,0.005532,0.003137,mid > late > early,-0.000574,-0.002969
s028,0.004076,0.006508,0.004211,mid > late > early,-0.000136,-0.002432
s029,0.006954,0.006389,0.009731,late > early > mid,-0.002777,0.000565
s030,0.00399,0.005579,0.00481,mid > late > early,-0.000819,-0.001589
s031,0.002785,0.004217,0.005949,late > mid > early,-0.003164,-0.001432
s032,0.005273,0.002692,0.007701,late > early > mid,-0.002428,0.00258
s033,0.002808,0.006169,0.003643,mid > late > early,-0.000835,-0.003361
s034,0.003136,0.003472,0.001222,mid > early > late,0.001914,-0.000337
s035,0.004739,0.004654,0.003934,early > mid > late,0.000805,8.5e-05
s036,0.005864,0.006225,0.007128,late > mid > early,-0.001263,-0.000361
s037,0.010703,0.007071,0.005096,early > mid > late,0.005607,0.003632
s038,0.005669,0.002969,0.004628,early > late > mid,0.001041,0.002699
s039,0.008841,0.005962,0.010983,late > early > mid,-0.002142,0.002879
s040,0.00401,0.002525,0.002525,early > mid > late,0.001485,0.001485
s041,0.016875,0.01146,0.003274,early > mid > late,0.0136,0.005414
s042,0.025956,0.0055,0.01171,early > late > mid,0.014246,0.020456
s043,0.007752,0.008246,0.006815,mid > early > late,0.000937,-0.000494
s044,0.003135,0.000799,0.008057,late > early > mid,-0.004922,0.002335
s045,0.008205,0.008567,0.002719,mid > early > late,0.005486,-0.000362
s046,0.006919,0.003015,0.00594,early > late > mid,0.000978,0.003904
s047,0.004012,0.002486,0.005208,late > early > mid,-0.001196,0.001526
s048,0.006673,0.004172,0.002929,early > mid > late,0.003745,0.002501
s049,0.007041,0.005748,0.008588,late > early > mid,-0.001547,0.001293
s050,0.005157,0.002451,0.002732,early > late > mid,0.002425,0.002706
s051,0.011159,0.01222,0.007508,mid > early > late,0.003651,-0.001061
s052,0.008065,0.011564,0.004051,mid > early > late,0.004014,-0.003499
s053,0.004334,0.007763,0.004665,mid > late > early,-0.000331,-0.003429
s054,0.003149,0.004725,0.003332,mid > late > early,-0.000183,-0.001576
s055,0.024746,0.008871,0.005442,early > mid > late,0.019304,0.015875
s056,0.005582,0.010892,0.007121,mid > late > early,-0.001539,-0.00531
s057,0.006992,0.00331,0.005872,early > late > mid,0.00112,0.003682
s058,0.004501,0.002895,0.006061,late > early > mid,-0.001561,0.001605
s059,0.005062,0.004688,0.004723,early > late > mid,0.000339,0.000374
s060,0.007004,0.004435,0.002825,early > mid > late,0.004179,0.002569
s061,0.019229,0.011514,0.010348,early > mid > late,0.008881,0.007715
s062,0.009279,0.009621,0.009584,mid > late > early,-0.000305,-0.000341
s063,0.003962,0.006064,0.002614,mid > early > late,0.001348,-0.002102
s064,0.008408,0.005122,0.003416,early > mid > late,0.004993,0.003286
s065,0.009467,0.002849,0.003595,early > late > mid,0.005872,0.006618
s066,0.004121,0.004167,0.006479,late > mid > early,-0.002357,-4.6e-05
s067,0.002539,0.002523,0.004639,late > early > mid,-0.0021,1.7e-05
s068,0.003255,0.003399,0.006977,late > mid > early,-0.003722,-0.000144
s069,0.01192,0.005145,0.003359,early > mid > late,0.008561,0.006775
s070,0.004803,0.004803,0.004757,early > mid > late,4.6e-05,0.0
s071,0.004874,0.004874,0.006289,late > early > mid,-0.001415,0.0
s072,0.002974,0.005674,0.01157,late > mid > early,-0.008596,-0.002701
s073,0.003996,0.004191,0.00385,mid > early > late,0.000146,-0.000195
s074,0.003139,0.006327,0.010434,late > mid > early,-0.007296,-0.003188
s075,0.005426,0.004373,0.004541,early > late > mid,0.000885,0.001053
s076,0.003268,0.002667,0.005291,late > early > mid,-0.002023,0.000601
s077,0.002615,0.003892,0.005669,late > mid > early,-0.003054,-0.001277
s078,0.001158,0.003272,0.005583,late > mid > early,-0.004425,-0.002114
s079,0.002823,0.007157,0.006233,mid > late > early,-0.00341,-0.004334
s080,0.003751,0.00366,0.003616,early > mid > late,0.000134,9.1e-05
s081,0.009524,0.00069,0.003624,early > late > mid,0.0059,0.008834
s082,0.010068,0.008905,0.005065,early > mid > late,0.005003,0.001163
s083,0.007474,0.00575,0.008294,late > early > mid,-0.000819,0.001725
s084,0.007919,0.018904,0.012878,mid > late > early,-0.004959,-0.010985
s085,0.00474,0.007695,0.011538,late > mid > early,-0.006798,-0.002955
s086,0.003236,0.00781,0.010341,late > mid > early,-0.007105,-0.004573
s087,0.005116,0.010197,0.007918,mid > late > early,-0.002803,-0.005081
s088,0.00345,0.003016,0.002896,early > mid > late,0.000554,0.000434
s089,0.00535,0.00434,0.004347,early > late > mid,0.001003,0.00101
s090,0.008514,0.005488,0.005442,early > mid > late,0.003072,0.003027
s091,0.017426,0.011237,0.009936,early > mid > late,0.00749,0.006189
s092,0.003374,0.005425,0.006164,late > mid > early,-0.00279,-0.002051
s093,0.004244,0.002679,0.00321,early > late > mid,0.001034,0.001565
s094,0.001201,0.007311,0.007073,mid > late > early,-0.005872,-0.00611
s095,0.004402,0.007111,0.005333,mid > late > early,-0.000931,-0.002709
s096,0.009433,0.00821,0.011452,late > early > mid,-0.002019,0.001223
s097,0.007704,0.003887,0.008793,late > early > mid,-0.001089,0.003817
s098,0.006574,0.003024,0.005634,early > late > mid,0.00094,0.00355
s099,0.004072,0.003894,0.006201,late > early > mid,-0.002129,0.000178
s100,0.005994,0.008383,0.002999,mid > early > late,0.002994,-0.002389
