condition,category,normalized_marker_mean,normalized_marker_min,normalized_marker_max
control,anglocentric_formulas,0.000293,0.0,0.010417
control,argument_development,0.000297,0.0,0.010417
control,hedging_epistemic,0.000247,0.0,0.010417
control,intensification_assertiveness,3.2e-05,0.0,0.009709
control,logical_structuring,0.012,0.0,0.049587
early,anglocentric_formulas,7.9e-05,0.0,0.008547
early,argument_development,0.000139,0.0,0.009346
early,hedging_epistemic,0.000253,0.0,0.009434
early,intensification_assertiveness,0.0,0.0,0.0
early,logical_structuring,0.010106,0.0,0.030612
late,anglocentric_formulas,0.000188,0.0,0.008772
late,argument_development,0.000333,0.0,0.009174
late,hedging_epistemic,0.000234,0.0,0.008475
late,intensification_assertiveness,2.5e-05,0.0,0.007576
late,logical_structuring,0.012086,0.0,0.042735
mid,anglocentric_formulas,0.000217,0.0,0.009346
mid,argument_development,0.000386,0.0,0.009346
mid,hedging_epistemic,0.000221,0.0,0.008929
mid,intensification_assertiveness,2.8e-05,0.0,0.008547
mid,logical_structuring,0.011626,0.0,0.042373
