prompt_id,early_abs_delta_mean,mid_abs_delta_mean,late_abs_delta_mean,delta_strength_ranking,early_minus_late_abs_delta,early_minus_mid_abs_delta
s001,0.016399,0.022455,0.018895,mid > late > early,-0.002496,-0.006056
s002,0.013193,0.007616,0.004644,early > mid > late,0.008549,0.005577
s003,0.003815,0.007474,0.004322,mid > late > early,-0.000507,-0.003659
s004,0.004686,0.006765,0.006596,mid > late > early,-0.00191,-0.002079
s005,0.017394,0.006052,0.011914,early > late > mid,0.00548,0.011342
s006,0.005018,0.008698,0.009193,late > mid > early,-0.004175,-0.00368
s007,0.011968,0.009466,0.000907,early > mid > late,0.011061,0.002502
s008,0.011707,0.002802,0.005984,early > late > mid,0.005723,0.008905
s009,0.003282,0.003402,0.005696,late > mid > early,-0.002413,-0.00012
s010,0.012122,0.003243,0.00955,early > late > mid,0.002572,0.008879
s011,0.020513,0.017709,0.017157,early > mid > late,0.003356,0.002804
s012,0.006492,0.009557,0.006441,mid > early > late,5.1e-05,-0.003065
s013,0.00761,0.006599,0.005874,early > mid > late,0.001736,0.001011
s014,0.003248,0.000505,0.0032,early > late > mid,4.8e-05,0.002743
s015,0.007201,0.003086,0.007439,late > early > mid,-0.000237,0.004115
s016,0.011939,0.009212,0.006672,early > mid > late,0.005267,0.002728
s017,0.010736,0.004169,0.00356,early > mid > late,0.007176,0.006567
s018,0.004238,0.011137,0.010764,mid > late > early,-0.006526,-0.0069
s019,0.004357,0.008307,0.005324,mid > late > early,-0.000967,-0.00395
s020,0.003321,0.008912,0.008912,mid > late > early,-0.005591,-0.005591
s021,0.020139,0.010841,0.002486,early > mid > late,0.017653,0.009298
s022,0.010577,0.009244,0.000376,early > mid > late,0.010201,0.001333
s023,0.001966,0.005597,0.005029,mid > late > early,-0.003063,-0.00363
s024,0.003517,0.006542,0.012834,late > mid > early,-0.009317,-0.003025
s025,0.008772,0.008772,0.000295,early > mid > late,0.008477,0.0
s026,0.020766,0.021265,0.013649,mid > early > late,0.007116,-0.000499
s027,0.00846,0.007786,0.003791,early > mid > late,0.004669,0.000675
s028,0.004275,0.007443,0.00526,mid > late > early,-0.000985,-0.003168
s029,0.008465,0.005851,0.009592,late > early > mid,-0.001127,0.002614
s030,0.009278,0.011492,0.006184,mid > early > late,0.003094,-0.002214
s031,0.007264,0.004228,0.005115,early > late > mid,0.002149,0.003037
s032,0.003491,0.003272,0.000352,early > mid > late,0.003139,0.000219
s033,0.01009,0.001347,0.006126,early > late > mid,0.003964,0.008743
s034,0.006782,0.0011,0.000509,early > mid > late,0.006273,0.005682
s035,0.004932,0.010893,0.004982,mid > late > early,-5e-05,-0.005961
s036,0.007735,0.006103,0.003825,early > mid > late,0.00391,0.001632
s037,0.006567,0.00906,0.007148,mid > late > early,-0.000581,-0.002493
s038,0.006905,0.00393,0.00894,late > early > mid,-0.002035,0.002976
s039,0.005603,0.00888,0.008763,mid > late > early,-0.00316,-0.003278
s040,0.002849,0.008572,0.0,mid > early > late,0.002849,-0.005723
s041,0.01568,0.011559,0.007849,early > mid > late,0.007831,0.004121
s042,0.007722,0.003131,0.009786,late > early > mid,-0.002064,0.004591
s043,0.006386,0.002573,0.006609,late > early > mid,-0.000223,0.003813
s044,0.006873,0.008584,0.004622,mid > early > late,0.002251,-0.001711
s045,0.006737,0.006488,0.006116,early > mid > late,0.00062,0.000249
s046,0.012398,0.002786,0.005983,early > late > mid,0.006415,0.009612
s047,0.003509,0.006419,0.003597,mid > late > early,-8.8e-05,-0.002909
s048,0.005142,0.003878,0.006278,late > early > mid,-0.001136,0.001264
s049,0.003227,0.003395,0.000677,mid > early > late,0.00255,-0.000168
s050,0.00297,0.003881,0.004649,late > mid > early,-0.001678,-0.000911
s051,0.026685,0.024631,0.014544,early > mid > late,0.012141,0.002054
s052,0.011685,0.006214,0.009956,early > late > mid,0.001729,0.005471
s053,0.005699,0.016901,0.004578,mid > early > late,0.001121,-0.011202
s054,0.001228,0.007031,0.003559,mid > late > early,-0.002331,-0.005803
s055,0.005693,0.019435,0.010696,mid > late > early,-0.005003,-0.013742
s056,0.01606,0.010261,0.003718,early > mid > late,0.012343,0.005799
s057,0.005153,0.015574,0.005669,mid > late > early,-0.000516,-0.010421
s058,0.004725,0.010761,0.008794,mid > late > early,-0.00407,-0.006036
s059,0.004171,0.006854,0.000808,mid > early > late,0.003363,-0.002683
