condition,category,normalized_marker_mean,normalized_marker_min,normalized_marker_max
control,anglocentric_formulas,0.0,0.0,0.0
control,argument_development,0.0,0.0,0.0
control,hedging_epistemic,0.0,0.0,0.0
control,intensification_assertiveness,0.0,0.0,0.0
control,logical_structuring,0.007463,0.0,0.014925
early,anglocentric_formulas,0.006757,0.0,0.013514
early,argument_development,0.0,0.0,0.0
early,hedging_epistemic,0.0,0.0,0.0
early,intensification_assertiveness,0.0,0.0,0.0
early,logical_structuring,0.006757,0.0,0.013514
late,anglocentric_formulas,0.0,0.0,0.0
late,argument_development,0.0,0.0,0.0
late,hedging_epistemic,0.0,0.0,0.0
late,intensification_assertiveness,0.0,0.0,0.0
late,logical_structuring,0.007143,0.0,0.014286
mid,anglocentric_formulas,0.0,0.0,0.0
mid,argument_development,0.0,0.0,0.0
mid,hedging_epistemic,0.0,0.0,0.0
mid,intensification_assertiveness,0.0,0.0,0.0
mid,logical_structuring,0.007042,0.0,0.014085
