condition,category,normalized_marker_mean,normalized_marker_min,normalized_marker_max
control,anglocentric_formulas,0.0,0.0,0.0
control,argument_development,0.0,0.0,0.0
control,hedging_epistemic,0.0,0.0,0.0
control,intensification_assertiveness,0.0,0.0,0.0
control,logical_structuring,0.0097,0.009091,0.010309
early,anglocentric_formulas,0.0,0.0,0.0
early,argument_development,0.0,0.0,0.0
early,hedging_epistemic,0.0,0.0,0.0
early,intensification_assertiveness,0.0,0.0,0.0
early,logical_structuring,0.018415,0.009804,0.027027
late,anglocentric_formulas,0.004545,0.0,0.009091
late,argument_development,0.004545,0.0,0.009091
late,hedging_epistemic,0.0,0.0,0.0
late,intensification_assertiveness,0.0,0.0,0.0
late,logical_structuring,0.01372,0.009091,0.018349
mid,anglocentric_formulas,0.0,0.0,0.0
mid,argument_development,0.0,0.0,0.0
mid,hedging_epistemic,0.0,0.0,0.0
mid,intensification_assertiveness,0.0,0.0,0.0
mid,logical_structuring,0.014113,0.010526,0.017699
