profile,condition,run_count,error_count,token_count_mean,token_count_min,token_count_max,total_marker_score_mean,total_marker_score_min,total_marker_score_max,delta_p0_mean,delta_p0_min,delta_p0_max,cosine_similarity_mean,cosine_similarity_min,cosine_similarity_max,perplexity_mean,perplexity_min,perplexity_max
outputs_vkr_max_mini,control,48,0,94.020833,81,106,0.022198,0.009434,0.040816,0.0,-0.008234,0.009278,1.0,1.0,1.0,430.657701,338.73607,540.34155
outputs_vkr_max_mini,early,48,0,95.395833,83,106,0.018377,0.0,0.034483,-0.003821,-0.031739,0.018118,0.635795,0.469867,0.817435,708.251565,474.757402,932.511172
outputs_vkr_max_mini,late,48,0,97.020833,86,106,0.020458,0.0,0.041667,-0.001741,-0.015472,0.013654,0.707965,0.495432,0.880223,615.383812,462.058445,877.284743
outputs_vkr_max_mini,mid,48,0,94.729167,83,106,0.018029,0.0,0.037736,-0.00417,-0.0211,0.010783,0.683362,0.487609,0.854152,642.660427,496.784523,848.446843
outputs_vkr_max_nano,control,48,0,96.854167,85,108,0.017196,0.0,0.035294,0.0,-0.016856,0.011367,1.0,1.0,1.0,427.378569,323.392396,523.800819
outputs_vkr_max_nano,early,48,0,96.520833,76,110,0.016681,0.0,0.032258,-0.000515,-0.028691,0.020165,0.614393,0.455278,0.755049,705.416285,519.611778,890.844297
outputs_vkr_max_nano,late,48,0,98.729167,87,113,0.016551,0.0,0.032609,-0.000645,-0.027273,0.02079,0.701033,0.484183,0.895107,608.995428,442.326224,970.93307
outputs_vkr_max_nano,mid,48,0,97.916667,87,111,0.0155,0.0,0.040816,-0.001696,-0.021583,0.021944,0.674498,0.472134,0.836315,639.396919,485.699388,966.88017
outputs_vkr_scaled_mini,control,300,0,97.526667,62,131,0.022516,0.0,0.04878,-0.0,-0.014319,0.016538,1.0,1.0,1.0,793.055032,524.108233,1066.117507
outputs_vkr_scaled_mini,early,300,0,104.613333,71,142,0.019319,0.0,0.048193,-0.003198,-0.029539,0.023091,0.633223,0.338467,0.891879,1222.430259,621.592576,1894.733311
outputs_vkr_scaled_mini,late,300,0,117.736667,94,144,0.021563,0.0,0.048544,-0.000954,-0.017104,0.034591,0.711684,0.292723,0.937177,1149.291979,602.423041,1775.489394
outputs_vkr_scaled_mini,mid,300,0,116.493333,85,142,0.019389,0.0,0.049505,-0.003127,-0.022747,0.028595,0.68237,0.438489,0.879821,1194.593601,717.433499,1813.558586
outputs_vkr_scaled_nano,control,300,0,106.906667,70,138,0.01287,0.0,0.049587,0.0,-0.020726,0.02439,1.0,1.0,1.0,743.176944,495.231829,1159.356225
outputs_vkr_scaled_nano,early,300,0,113.073333,69,141,0.010577,0.0,0.030612,-0.002293,-0.028805,0.018533,0.636399,0.407675,0.869406,1094.53017,579.698328,1767.491459
outputs_vkr_scaled_nano,late,300,0,123.89,102,146,0.012865,0.0,0.042735,-4e-06,-0.028805,0.017165,0.696194,0.449054,0.935318,1061.141781,629.759624,1921.891756
outputs_vkr_scaled_nano,mid,300,0,122.626667,95,146,0.012479,0.0,0.051282,-0.000391,-0.022596,0.023255,0.675628,0.44048,0.857834,1102.004247,626.973239,2053.310323
