profile,condition,run_count,error_count,length_finish_rate,token_count_mean,total_marker_score_mean,delta_p0_mean,cosine_similarity_mean,perplexity_mean
scaled_mini,control,300,0,0.093333,97.526667,0.022516,-0.0,1.0,793.055032
scaled_mini,early,300,0,0.206667,104.613333,0.019319,-0.003198,0.633223,1222.430259
scaled_mini,late,300,0,0.983333,117.736667,0.021563,-0.000954,0.711684,1149.291979
scaled_mini,mid,300,0,0.72,116.493333,0.019389,-0.003127,0.68237,1194.593601
scaled_nano,control,300,0,0.143333,106.906667,0.01287,0.0,1.0,743.176944
scaled_nano,early,300,0,0.313333,113.073333,0.010577,-0.002293,0.636399,1094.53017
scaled_nano,late,300,0,0.976667,123.89,0.012865,-4e-06,0.696194,1061.141781
scaled_nano,mid,300,0,0.81,122.626667,0.012479,-0.000391,0.675628,1102.004247
combined,control,600,0,0.118333,102.216667,0.017693,-0.0,1.0,768.115988
combined,early,600,0,0.26,108.843333,0.014948,-0.002745,0.634811,1158.480214
combined,mid,600,0,0.765,119.56,0.015934,-0.001759,0.678999,1148.298924
combined,late,600,0,0.98,120.813333,0.017214,-0.000479,0.703939,1105.21688
